Invoice ID,Customer type,Total
447-15-7839,Member,233.52
253-12-6086,Member,723.24
571-94-0759,Member,783.3
144-51-6085,Member,297.108
731-14-2199,Member,373.17
687-15-1097,Member,44.352
126-54-1082,Member,203.553
526-86-8552,Member,229.11
537-72-0426,Member,745.395
828-61-5674,Member,462.21
667-92-0055,Member,628.929
565-17-3836,Member,200.214
593-95-4461,Member,78.603
430-60-3493,Member,697.368
139-20-0155,Member,423.15
278-97-7759,Member,65.604
316-68-6352,Member,76.356
211-05-0490,Member,272.58
744-02-5987,Member,493.794
307-83-9164,Member,252.042
779-06-0012,Member,93.0405
573-10-3877,Member,40.9605
411-77-0180,Member,530.67
803-17-8013,Member,745.836
512-98-1403,Member,83.412
532-59-7201,Member,503.559
181-94-6432,Member,145.593
870-76-1733,Member,74.7075
423-64-4619,Member,146.9475
227-07-4446,Member,820.365
174-36-3675,Member,208.677
428-83-5800,Member,66.402
603-07-0961,Member,392.6475
704-20-4138,Member,218.0745
787-15-1757,Member,185.094
815-11-1168,Member,523.845
719-76-3868,Member,395.892
730-61-8757,Member,214.746
340-66-0321,Member,152.712
442-48-3607,Member,49.308
835-16-0096,Member,77.175
527-09-6272,Member,149.3625
374-17-3652,Member,404.649
378-07-7001,Member,151.4835
433-75-6987,Member,411.3795
873-95-4984,Member,565.215
441-94-7118,Member,75.5475
725-96-3778,Member,749.7
860-79-0874,Member,1042.65
115-99-4379,Member,402.2655
565-67-6697,Member,255.15
889-04-9723,Member,374.388
612-36-5536,Member,680.064
468-88-0009,Member,276.948
254-31-0042,Member,203.175
201-86-2184,Member,193.011
667-23-5919,Member,507.675
843-01-4703,Member,334.341
595-86-2894,Member,407.316
289-15-7034,Member,345.786
153-58-4872,Member,314.538
525-88-7307,Member,79.611
394-41-0748,Member,510.9615
541-89-9860,Member,253.512
563-36-9814,Member,80.661
308-47-4913,Member,548.73
793-10-3222,Member,258.678
346-12-3257,Member,181.818
236-86-3015,Member,14.679
587-03-7455,Member,718.7565
882-40-4577,Member,282.492
725-32-9708,Member,288.582
132-23-6451,Member,110.0925
186-09-3669,Member,85.5855
745-71-3520,Member,185.367
266-76-6436,Member,121.59
271-88-8734,Member,1020.705
301-81-8610,Member,213.528
198-84-7132,Member,383.7645
269-10-8440,Member,390.7995
650-98-6268,Member,65.7405
325-77-6186,Member,951.825
257-73-1380,Member,348.306
549-96-4200,Member,71.568
450-28-2866,Member,91.56
394-30-3170,Member,742.812
138-17-5109,Member,843.0345
390-80-5128,Member,20.1075
235-46-8343,Member,290.43
296-11-7041,Member,28.4235
449-27-2918,Member,41.076
187-83-5490,Member,87.234
767-54-1907,Member,155.19
710-46-4433,Member,731.43
325-90-8763,Member,488.985
234-03-4040,Member,767.025
320-32-8842,Member,23.751
470-32-9057,Member,269.535
878-30-2331,Member,572.775
440-59-5691,Member,273.0525
233-34-0817,Member,103.782
767-05-1286,Member,527.751
340-21-9136,Member,168.21
405-31-3305,Member,452.865
731-59-7531,Member,609.588
676-39-6028,Member,338.31
305-18-3552,Member,633.99
493-65-6248,Member,388.29
438-01-4015,Member,207.858
627-95-3243,Member,734.076
510-09-5628,Member,206.43
608-04-3797,Member,212.688
148-82-2527,Member,127.26
401-18-8016,Member,103.0365
420-18-8989,Member,432.768
277-63-2961,Member,77.6685
573-98-8548,Member,33.495
726-29-6793,Member,203.112
387-49-4215,Member,152.775
291-21-5991,Member,321.7725
602-80-9671,Member,100.485
347-72-6115,Member,666.939
503-07-0930,Member,429.1665
413-20-6708,Member,54.0435
425-85-2085,Member,288.015
521-18-7827,Member,206.7975
600-38-9738,Member,377.58
451-28-5717,Member,523.971
609-81-8548,Member,235.872
719-89-8991,Member,479.9025
339-38-9982,Member,125.706
827-44-5872,Member,570.78
435-13-4908,Member,728.112
339-12-4827,Member,77.658
358-88-9262,Member,551.124
343-87-0864,Member,79.674
173-50-1108,Member,84.756
243-47-2663,Member,118.251
701-23-5550,Member,163.002
134-75-2619,Member,142.002
198-66-9832,Member,151.284
283-26-5248,Member,1034.46
712-39-0363,Member,262.458
218-59-9410,Member,228.123
760-90-2357,Member,469.413
834-83-1826,Member,430.71
343-61-3544,Member,280.035
239-48-4278,Member,74.4555
339-96-8318,Member,597.6285
443-82-0585,Member,326.256
339-18-7061,Member,195.258
359-90-3665,Member,75.936
302-15-2162,Member,293.139
788-07-8452,Member,178.164
560-49-6611,Member,47.859
880-35-0356,Member,236.88
585-11-6748,Member,304.92
334-64-2006,Member,147.672
484-22-8230,Member,381.3915
559-98-9873,Member,394.3275
544-32-5024,Member,209.118
349-97-8902,Member,121.569
277-35-5865,Member,935.2665
789-23-8625,Member,293.643
284-54-4231,Member,84.9765
443-59-0061,Member,708.225
509-29-3912,Member,365.904
327-40-9673,Member,457.38
840-19-2096,Member,461.5275
828-46-6863,Member,620.739
641-96-3695,Member,273.798
436-54-4512,Member,96.1905
670-79-6321,Member,695.2365
598-06-7312,Member,95.9175
135-13-8269,Member,165.648
628-90-8624,Member,867.09
856-66-2701,Member,167.895
589-02-8023,Member,175.917
182-88-2763,Member,251.7165
188-55-0967,Member,697.935
364-33-8584,Member,92.5575
695-09-5146,Member,311.1885
155-45-3814,Member,743.82
794-32-2436,Member,116.907
131-15-8856,Member,609.168
273-84-2164,Member,63.2625
706-36-6154,Member,182.952
574-31-8277,Member,35.3115
859-71-0933,Member,32.529
742-04-5161,Member,764.19
149-15-7606,Member,352.674
133-77-3154,Member,252.756
562-12-5430,Member,277.6725
816-72-8853,Member,146.6325
491-38-3499,Member,58.2225
842-29-4695,Member,125.979
725-67-2480,Member,370.125
641-51-2661,Member,914.55
779-42-2410,Member,181.881
408-66-6712,Member,300.573
588-47-8641,Member,588.42
642-61-4706,Member,196.14
242-11-3142,Member,175.917
752-23-3760,Member,470.988
274-05-5470,Member,308.574
130-67-4723,Member,305.55
528-87-5606,Member,41.454
105-10-6182,Member,45.108
510-79-0415,Member,145.404
241-96-5076,Member,103.11
767-97-4650,Member,136.143
648-83-1321,Member,667.38
173-57-2300,Member,153.048
394-55-6384,Member,663.2955
266-20-6657,Member,404.544
689-05-1884,Member,510.615
196-01-2849,Member,539.343
800-09-8606,Member,458.6925
182-52-7000,Member,113.568
868-06-0466,Member,657.531
191-29-0321,Member,207.585
729-06-2010,Member,760.4415
640-48-5028,Member,835.2855
162-65-8559,Member,72.429
786-94-2700,Member,507.906
728-88-7867,Member,317.226
735-32-9839,Member,829.08
857-16-3520,Member,525.231
482-17-1179,Member,37.611
821-14-9046,Member,110.124
678-79-0726,Member,856.4535
592-46-1692,Member,270.2595
434-35-9162,Member,98.028
149-14-0304,Member,239.4
442-44-6497,Member,175.0455
299-29-0180,Member,383.523
247-11-2470,Member,93.744
756-49-0168,Member,20.685
238-45-6950,Member,56.406
607-65-2441,Member,860.475
386-27-7606,Member,596.82
197-77-7132,Member,769.104
373-14-0504,Member,150.423
546-80-2899,Member,79.149
345-68-9016,Member,266.028
390-17-5806,Member,40.341
457-13-1708,Member,684.915
664-14-2882,Member,55.2825
487-79-6868,Member,116.1405
314-23-4520,Member,597.0405
210-30-7976,Member,93.744
807-14-7833,Member,182.91
288-38-3758,Member,267.3405
785-96-0615,Member,300.216
250-17-5703,Member,197.925
842-40-8179,Member,810.6
410-67-1709,Member,536.592
587-73-4862,Member,56.1225
787-87-2010,Member,233.1
707-32-7409,Member,401.268
759-98-4285,Member,631.1445
201-63-8275,Member,499.7265
200-16-5952,Member,137.865
102-77-2261,Member,480.0285
102-06-2002,Member,132.5625
457-94-0464,Member,830.3715
307-04-2070,Member,32.151
516-77-6464,Member,53.34
704-10-4056,Member,190.4805
400-80-4065,Member,287.91
263-12-5321,Member,680.61
443-60-9639,Member,63.9135
864-24-7918,Member,257.145
401-09-4232,Member,455.1225
324-41-6833,Member,253.68
474-33-8305,Member,495.3165
759-29-9521,Member,462.672
831-81-6575,Member,714.3255
815-04-6282,Member,341.0925
778-34-2523,Member,408.408
869-11-3082,Member,403.872
190-59-3964,Member,247.59
186-43-8965,Member,100.128
784-21-9238,Member,10.6785
109-86-4363,Member,441.588
569-76-2760,Member,92.442
222-42-0244,Member,681.4395
760-53-9233,Member,130.032
416-17-9926,Member,779.31
343-75-9322,Member,99.54
528-14-9470,Member,95.865
427-45-9297,Member,299.3655
288-62-1085,Member,202.335
271-77-8740,Member,184.086
860-73-6466,Member,82.887
549-23-9016,Member,31.227
804-38-3935,Member,295.407
585-90-0249,Member,76.923
845-94-6841,Member,688.716
160-22-2687,Member,503.7375
748-45-2862,Member,118.902
316-66-3011,Member,450.1035
848-95-6252,Member,90.5835
840-76-5966,Member,26.796
124-31-1458,Member,250.7085
176-78-1170,Member,106.5015
361-59-0574,Member,760.452
101-81-4070,Member,131.922
631-34-1880,Member,76.5765
873-14-6353,Member,182.427
544-55-9589,Member,225.015
166-19-2553,Member,561.078
737-88-5876,Member,97.818
885-56-0389,Member,54.9675
608-05-3804,Member,41.7375
761-49-0439,Member,101.64
490-95-0021,Member,348.705
115-38-7388,Member,85.512
311-13-6971,Member,335.895
291-55-6563,Member,216.846
548-48-3156,Member,175.014
325-89-4209,Member,92.295
884-80-6021,Member,771.435
880-46-5796,Member,807.66
607-76-6216,Member,485.5725
811-35-1094,Member,317.835
409-49-6995,Member,297.801
725-54-0677,Member,629.16
146-09-5432,Member,331.128
377-79-7592,Member,423.738
595-94-9924,Member,145.5825
118-62-1812,Member,329.196
186-71-5196,Member,167.034
313-66-9943,Member,91.8225
522-57-8364,Member,431.256
459-45-2396,Member,313.74
722-13-2115,Member,44.9925
636-98-3364,Member,82.719
246-55-6923,Member,338.2155
838-02-1821,Member,26.733
457-12-0244,Member,221.886
321-49-7382,Member,92.7255
397-25-8725,Member,374.409
756-93-1854,Member,175.035
235-06-8510,Member,270.018
131-70-8179,Member,290.0835
702-83-5291,Member,943.299
333-23-2632,Member,74.088
859-97-6048,Member,176.925
676-10-2200,Member,56.469
373-88-1424,Member,188.0025
503-21-4385,Member,125.7165
305-89-2768,Member,68.985
574-80-1489,Member,263.97
784-08-0310,Member,88.368
200-40-6154,Member,415.233
577-34-7579,Member,477.1305
384-59-6655,Member,932.337
256-58-3609,Member,96.579
324-92-3863,Member,43.869
364-34-2972,Member,304.983
195-06-0432,Member,255.1815
214-30-2776,Member,181.0725
746-04-1077,Member,888.615
448-34-8700,Member,271.2885
883-69-1285,Member,104.832
518-71-6847,Member,167.58
728-47-9078,Member,250.278
139-32-4183,Member,921.186
552-44-5977,Member,520.8
267-62-7380,Member,864.57
430-53-4718,Member,633.108
652-49-6720,Member,63.9975
727-02-1313,Member,33.432
849-09-3807,Member,649.299
