Invoice ID,Rating,Product line
704-11-6354,8.9,Home and lifestyle
110-48-7033,9.0,Fashion accessories
366-93-0948,9.7,Electronic accessories
729-09-9681,8.7,Home and lifestyle
253-12-6086,8.7,Sports and travel
571-94-0759,9.5,Food and beverages
687-15-1097,9.7,Health and beauty
126-54-1082,8.8,Home and lifestyle
828-61-5674,9.6,Sports and travel
667-92-0055,8.5,Health and beauty
565-17-3836,9.1,Health and beauty
226-71-3580,9.5,Sports and travel
396-90-2219,8.6,Electronic accessories
286-01-5402,9.6,Sports and travel
181-94-6432,9.7,Fashion accessories
704-20-4138,8.1,Health and beauty
787-15-1757,8.4,Health and beauty
622-20-1945,8.4,Health and beauty
372-94-8041,9.8,Health and beauty
746-54-5508,9.4,Home and lifestyle
719-76-3868,8.6,Food and beverages
634-97-8956,9.1,Food and beverages
835-16-0096,8.5,Sports and travel
527-09-6272,9.1,Electronic accessories
633-09-3463,9.5,Electronic accessories
374-17-3652,8.9,Food and beverages
433-75-6987,8.9,Health and beauty
416-13-5917,9.3,Food and beverages
115-99-4379,8.5,Fashion accessories
320-49-6392,8.4,Electronic accessories
632-90-0281,9.3,Fashion accessories
605-72-4132,9.1,Food and beverages
834-25-9262,9.1,Fashion accessories
201-86-2184,9.9,Electronic accessories
382-25-8917,8.9,Fashion accessories
422-29-8786,9.1,Home and lifestyle
843-01-4703,9.6,Home and lifestyle
743-88-1662,8.7,Sports and travel
595-86-2894,9.4,Fashion accessories
868-52-7573,9.9,Food and beverages
662-72-2873,9.9,Food and beverages
725-56-0833,10.0,Health and beauty
394-41-0748,9.5,Fashion accessories
541-89-9860,8.1,Fashion accessories
173-82-9529,9.7,Fashion accessories
793-10-3222,8.3,Health and beauty
110-05-6330,9.4,Food and beverages
236-86-3015,9.8,Home and lifestyle
831-64-0259,9.6,Fashion accessories
472-15-9636,9.2,Home and lifestyle
750-57-9686,8.7,Home and lifestyle
186-09-3669,9.2,Health and beauty
848-07-1692,8.3,Health and beauty
745-71-3520,8.2,Electronic accessories
740-22-2500,9.8,Electronic accessories
271-88-8734,8.7,Fashion accessories
269-10-8440,8.9,Health and beauty
616-87-0016,9.6,Fashion accessories
751-69-0068,9.0,Sports and travel
257-73-1380,9.6,Sports and travel
450-28-2866,8.1,Food and beverages
192-98-7397,9.5,Fashion accessories
301-11-9629,9.7,Sports and travel
390-80-5128,9.5,Health and beauty
235-46-8343,8.9,Food and beverages
449-27-2918,9.6,Sports and travel
234-03-4040,8.7,Food and beverages
470-32-9057,9.1,Food and beverages
233-34-0817,8.4,Electronic accessories
340-21-9136,9.7,Sports and travel
541-08-3113,8.4,Food and beverages
795-49-7276,8.3,Fashion accessories
627-95-3243,9.8,Home and lifestyle
686-41-0932,8.2,Fashion accessories
608-04-3797,8.7,Health and beauty
148-82-2527,8.4,Home and lifestyle
556-97-7101,8.5,Electronic accessories
401-18-8016,8.9,Sports and travel
420-18-8989,9.6,Sports and travel
573-98-8548,9.1,Fashion accessories
620-02-2046,9.0,Home and lifestyle
511-54-3087,9.5,Sports and travel
726-29-6793,9.8,Electronic accessories
595-27-4851,9.3,Fashion accessories
503-07-0930,8.2,Sports and travel
413-20-6708,8.5,Fashion accessories
425-85-2085,9.8,Health and beauty
521-18-7827,8.7,Home and lifestyle
220-28-1851,9.7,Home and lifestyle
286-62-6248,9.0,Fashion accessories
827-77-7633,9.3,Sports and travel
857-67-9057,8.2,Electronic accessories
236-27-1144,8.4,Food and beverages
460-35-4390,9.1,Home and lifestyle
841-18-8232,9.2,Food and beverages
647-50-1224,8.9,Fashion accessories
582-52-8065,8.9,Fashion accessories
210-57-1719,9.7,Health and beauty
399-69-4630,8.6,Electronic accessories
198-66-9832,9.5,Fashion accessories
218-59-9410,8.2,Home and lifestyle
514-37-2845,9.0,Fashion accessories
718-57-9773,9.4,Sports and travel
343-61-3544,8.6,Sports and travel
239-48-4278,8.3,Food and beverages
355-34-6244,8.1,Food and beverages
550-84-8664,8.6,Sports and travel
207-73-1363,8.1,Health and beauty
443-82-0585,8.4,Health and beauty
359-90-3665,9.5,Fashion accessories
127-47-6963,9.8,Health and beauty
278-86-2735,9.2,Food and beverages
788-07-8452,9.4,Home and lifestyle
560-49-6611,9.8,Sports and travel
470-31-3286,8.7,Health and beauty
152-68-2907,9.5,Food and beverages
258-69-7810,9.2,Fashion accessories
334-64-2006,9.6,Home and lifestyle
830-58-2383,8.6,Home and lifestyle
349-97-8902,8.9,Food and beverages
284-54-4231,9.0,Sports and travel
641-96-3695,8.5,Fashion accessories
420-97-3340,9.2,Food and beverages
436-54-4512,9.8,Food and beverages
135-13-8269,9.1,Food and beverages
816-57-2053,8.7,Sports and travel
308-39-1707,8.2,Fashion accessories
364-33-8584,8.5,Food and beverages
706-36-6154,8.7,Home and lifestyle
563-47-4072,9.9,Health and beauty
133-77-3154,9.4,Fashion accessories
322-02-2271,9.3,Sports and travel
641-51-2661,9.9,Food and beverages
556-41-6224,9.3,Health and beauty
648-94-3045,8.1,Health and beauty
130-67-4723,9.4,Food and beverages
689-05-1884,8.8,Health and beauty
196-01-2849,9.5,Fashion accessories
626-43-7888,9.6,Fashion accessories
729-06-2010,9.2,Health and beauty
186-79-9562,8.9,Health and beauty
760-27-5490,9.1,Fashion accessories
786-94-2700,9.1,Food and beverages
728-88-7867,8.3,Home and lifestyle
735-32-9839,8.5,Fashion accessories
482-17-1179,8.1,Electronic accessories
174-64-0215,8.9,Sports and travel
299-29-0180,9.3,Home and lifestyle
756-49-0168,9.5,Fashion accessories
438-23-1242,8.9,Electronic accessories
386-27-7606,8.1,Home and lifestyle
137-63-5492,9.0,Electronic accessories
805-86-0265,9.8,Home and lifestyle
733-29-1227,8.5,Home and lifestyle
451-73-2711,8.8,Food and beverages
373-14-0504,8.8,Sports and travel
546-80-2899,9.5,Home and lifestyle
390-17-5806,8.6,Food and beverages
314-23-4520,9.0,Health and beauty
585-86-8361,8.6,Food and beverages
775-72-1988,8.4,Home and lifestyle
410-67-1709,9.9,Fashion accessories
801-88-0346,9.8,Fashion accessories
875-31-8302,9.6,Sports and travel
629-42-4133,8.3,Health and beauty
468-99-7231,8.8,Home and lifestyle
404-91-5964,9.0,Electronic accessories
790-38-4466,9.3,Health and beauty
497-37-6538,9.7,Sports and travel
400-80-4065,9.2,Health and beauty
263-12-5321,9.3,Electronic accessories
864-24-7918,8.1,Sports and travel
359-94-5395,9.8,Health and beauty
401-09-4232,9.4,Home and lifestyle
618-34-8551,8.5,Sports and travel
257-60-7754,9.0,Electronic accessories
559-61-5987,8.6,Health and beauty
477-59-2456,9.2,Fashion accessories
832-51-6761,9.6,Food and beverages
869-11-3082,8.4,Health and beauty
276-75-6884,8.7,Health and beauty
760-53-9233,8.5,Fashion accessories
636-17-0325,9.5,Health and beauty
528-14-9470,9.2,Health and beauty
549-23-9016,8.9,Food and beverages
585-90-0249,9.7,Electronic accessories
862-29-5914,8.6,Sports and travel
843-73-4724,9.2,Fashion accessories
409-33-9708,9.2,Fashion accessories
866-70-2814,10.0,Electronic accessories
160-22-2687,8.8,Health and beauty
748-45-2862,8.2,Home and lifestyle
852-82-2749,9.3,Sports and travel
584-66-4073,9.6,Fashion accessories
166-19-2553,9.9,Sports and travel
761-49-0439,8.6,Electronic accessories
115-38-7388,9.5,Fashion accessories
311-13-6971,9.9,Sports and travel
884-80-6021,9.5,Electronic accessories
114-35-5271,8.1,Electronic accessories
607-76-6216,8.6,Fashion accessories
715-20-1673,9.4,Electronic accessories
811-35-1094,8.9,Electronic accessories
409-49-6995,8.8,Food and beverages
865-41-9075,8.1,Food and beverages
450-42-3339,8.8,Health and beauty
151-27-8496,8.6,Electronic accessories
722-13-2115,9.3,Sports and travel
777-67-2495,8.7,Home and lifestyle
226-34-0034,9.0,Electronic accessories
756-93-1854,9.5,Fashion accessories
501-61-1753,9.8,Home and lifestyle
365-16-4334,8.9,Food and beverages
503-21-4385,9.3,Health and beauty
574-80-1489,8.7,Food and beverages
384-59-6655,8.4,Food and beverages
256-58-3609,9.8,Fashion accessories
324-92-3863,9.8,Electronic accessories
195-06-0432,9.3,Home and lifestyle
605-03-2706,9.5,Health and beauty
214-30-2776,9.0,Electronic accessories
746-04-1077,9.0,Food and beverages
744-82-9138,8.2,Fashion accessories
221-25-5073,8.5,Food and beverages
728-47-9078,9.8,Food and beverages
809-46-1866,8.4,Health and beauty
374-38-5555,8.5,Fashion accessories
430-53-4718,8.4,Health and beauty
745-74-0715,8.8,Electronic accessories
