Invoice ID,City,Total
834-61-8124,Yangon,379.9215
612-36-5536,Yangon,680.064
462-67-9126,Yangon,461.286
468-88-0009,Yangon,276.948
254-31-0042,Yangon,203.175
422-29-8786,Yangon,352.2225
667-23-5919,Yangon,507.675
289-15-7034,Yangon,345.786
662-72-2873,Yangon,214.935
725-56-0833,Yangon,339.36
563-36-9814,Yangon,80.661
308-47-4913,Yangon,548.73
885-17-6250,Yangon,83.727
726-27-2396,Yangon,406.875
316-01-3952,Yangon,284.9175
882-40-4577,Yangon,282.492
732-67-5346,Yangon,72.3975
256-08-8343,Yangon,237.426
132-23-6451,Yangon,110.0925
696-90-2548,Yangon,81.396
472-15-9636,Yangon,427.812
745-71-3520,Yangon,185.367
269-10-8440,Yangon,390.7995
325-77-6186,Yangon,951.825
459-50-7686,Yangon,147.798
345-08-4992,Yangon,214.137
138-17-5109,Yangon,843.0345
301-11-9629,Yangon,140.385
727-17-0390,Yangon,333.9525
568-88-3448,Yangon,26.25
187-83-5490,Yangon,87.234
470-32-9057,Yangon,269.535
340-21-9136,Yangon,168.21
405-31-3305,Yangon,452.865
676-39-6028,Yangon,338.31
502-05-1910,Yangon,205.317
485-30-8700,Yangon,174.615
575-67-1508,Yangon,40.53
674-15-9296,Yangon,194.985
795-49-7276,Yangon,156.03
510-09-5628,Yangon,206.43
420-18-8989,Yangon,432.768
726-29-6793,Yangon,203.112
209-61-0206,Yangon,225.2775
595-27-4851,Yangon,398.958
189-52-0236,Yangon,731.6925
220-28-1851,Yangon,72.933
609-81-8548,Yangon,235.872
534-01-4457,Yangon,514.773
719-89-8991,Yangon,479.9025
827-77-7633,Yangon,926.9505
287-83-1405,Yangon,160.209
435-13-4908,Yangon,728.112
892-05-6689,Yangon,148.68
643-38-7867,Yangon,102.837
308-81-0538,Yangon,306.81
460-35-4390,Yangon,96.642
647-50-1224,Yangon,308.91
541-48-8554,Yangon,575.9775
213-32-1216,Yangon,416.178
134-75-2619,Yangon,142.002
712-39-0363,Yangon,262.458
218-59-9410,Yangon,228.123
760-90-2357,Yangon,469.413
698-98-5964,Yangon,852.705
651-88-7328,Yangon,621.243
239-48-4278,Yangon,74.4555
550-84-8664,Yangon,451.0275
797-88-0493,Yangon,269.934
443-82-0585,Yangon,326.256
127-47-6963,Yangon,217.182
278-86-2735,Yangon,164.871
695-28-6250,Yangon,226.065
227-50-3718,Yangon,76.755
560-49-6611,Yangon,47.859
880-35-0356,Yangon,236.88
152-68-2907,Yangon,164.43
334-64-2006,Yangon,147.672
559-98-9873,Yangon,394.3275
318-12-0304,Yangon,32.1405
421-95-9805,Yangon,30.408
443-59-0061,Yangon,708.225
509-29-3912,Yangon,365.904
828-46-6863,Yangon,620.739
420-97-3340,Yangon,225.792
436-54-4512,Yangon,96.1905
816-57-2053,Yangon,127.827
856-66-2701,Yangon,167.895
308-39-1707,Yangon,12.6945
149-61-1929,Yangon,673.995
655-07-2265,Yangon,246.6765
589-02-8023,Yangon,175.917
610-46-4100,Yangon,212.7825
706-36-6154,Yangon,182.952
742-04-5161,Yangon,764.19
169-52-4504,Yangon,49.4235
562-12-5430,Yangon,277.6725
816-72-8853,Yangon,146.6325
491-38-3499,Yangon,58.2225
518-17-2983,Yangon,204.246
588-47-8641,Yangon,588.42
811-03-8790,Yangon,477.54
274-05-5470,Yangon,308.574
130-67-4723,Yangon,305.55
105-10-6182,Yangon,45.108
648-83-1321,Yangon,667.38
305-03-2383,Yangon,211.365
689-05-1884,Yangon,510.615
800-09-8606,Yangon,458.6925
182-52-7000,Yangon,113.568
868-06-0466,Yangon,657.531
445-30-9252,Yangon,80.955
786-94-2700,Yangon,507.906
258-92-7466,Yangon,187.32
857-16-3520,Yangon,525.231
482-17-1179,Yangon,37.611
788-21-5741,Yangon,142.947
247-11-2470,Yangon,93.744
635-28-5728,Yangon,176.4
756-49-0168,Yangon,20.685
805-86-0265,Yangon,887.922
373-14-0504,Yangon,150.423
546-80-2899,Yangon,79.149
585-86-8361,Yangon,143.22
807-14-7833,Yangon,182.91
652-43-6591,Yangon,817.236
406-46-7107,Yangon,608.076
250-17-5703,Yangon,197.925
156-95-3964,Yangon,232.638
410-67-1709,Yangon,536.592
587-73-4862,Yangon,56.1225
787-87-2010,Yangon,233.1
886-54-6089,Yangon,72.009
534-53-3526,Yangon,397.992
307-04-2070,Yangon,32.151
404-91-5964,Yangon,548.163
497-37-6538,Yangon,432.9885
651-96-5970,Yangon,48.7305
263-12-5321,Yangon,680.61
702-72-0487,Yangon,97.881
864-24-7918,Yangon,257.145
759-29-9521,Yangon,462.672
220-68-6701,Yangon,325.374
618-34-8551,Yangon,195.678
257-60-7754,Yangon,210.966
380-60-5336,Yangon,422.73
674-56-6360,Yangon,99.9075
778-34-2523,Yangon,408.408
832-51-6761,Yangon,284.592
186-43-8965,Yangon,100.128
276-75-6884,Yangon,216.4365
569-76-2760,Yangon,92.442
760-53-9233,Yangon,130.032
416-17-9926,Yangon,779.31
237-44-6163,Yangon,88.704
528-14-9470,Yangon,95.865
807-34-3742,Yangon,54.999
288-62-1085,Yangon,202.335
497-36-0989,Yangon,163.611
860-73-6466,Yangon,82.887
896-34-0956,Yangon,22.386
804-38-3935,Yangon,295.407
585-90-0249,Yangon,76.923
125-45-2293,Yangon,624.33
843-73-4724,Yangon,77.805
409-33-9708,Yangon,206.808
160-22-2687,Yangon,503.7375
748-45-2862,Yangon,118.902
316-66-3011,Yangon,450.1035
840-76-5966,Yangon,26.796
124-31-1458,Yangon,250.7085
852-82-2749,Yangon,271.278
873-14-6353,Yangon,182.427
166-19-2553,Yangon,561.078
737-88-5876,Yangon,97.818
448-61-3783,Yangon,756.168
291-55-6563,Yangon,216.846
548-48-3156,Yangon,175.014
460-93-5834,Yangon,335.013
325-89-4209,Yangon,92.295
884-80-6021,Yangon,771.435
880-46-5796,Yangon,807.66
146-09-5432,Yangon,331.128
595-94-9924,Yangon,145.5825
865-41-9075,Yangon,84.7455
186-71-5196,Yangon,167.034
453-33-6436,Yangon,782.208
522-57-8364,Yangon,431.256
459-45-2396,Yangon,313.74
749-81-8133,Yangon,397.614
397-25-8725,Yangon,374.409
243-55-8457,Yangon,781.62
361-85-2571,Yangon,469.77
131-70-8179,Yangon,290.0835
720-72-2436,Yangon,279.384
809-69-9497,Yangon,479.64
449-16-6770,Yangon,266.6475
333-23-2632,Yangon,74.088
489-82-1237,Yangon,690.018
846-10-0341,Yangon,312.8895
384-59-6655,Yangon,932.337
324-92-3863,Yangon,43.869
593-08-5916,Yangon,16.275
558-60-5016,Yangon,314.685
195-06-0432,Yangon,255.1815
605-03-2706,Yangon,49.77
531-56-4728,Yangon,252.252
221-25-5073,Yangon,313.572
809-46-1866,Yangon,244.23
139-32-4183,Yangon,921.186
886-18-2897,Yangon,296.94
745-74-0715,Yangon,121.863
727-02-1313,Yangon,33.432
347-56-2442,Yangon,69.111
849-09-3807,Yangon,649.299
