Invoice ID,Payment,Total
490-29-1201,Cash,16.107
565-17-3836,Cash,200.214
498-41-1961,Cash,350.07
593-95-4461,Cash,78.603
226-71-3580,Cash,224.4375
430-60-3493,Cash,697.368
278-97-7759,Cash,65.604
316-68-6352,Cash,76.356
211-05-0490,Cash,272.58
727-75-6477,Cash,121.128
307-83-9164,Cash,252.042
779-06-0012,Cash,93.0405
735-06-4124,Cash,51.0405
396-90-2219,Cash,125.664
286-01-5402,Cash,295.6905
803-17-8013,Cash,745.836
848-42-2560,Cash,172.011
532-59-7201,Cash,503.559
423-64-4619,Cash,146.9475
227-07-4446,Cash,820.365
174-36-3675,Cash,208.677
428-83-5800,Cash,66.402
603-07-0961,Cash,392.6475
649-11-3678,Cash,216.6885
622-20-1945,Cash,41.391
563-91-7120,Cash,324.2925
815-11-1168,Cash,523.845
719-76-3868,Cash,395.892
340-66-0321,Cash,152.712
868-81-1752,Cash,208.089
566-71-1091,Cash,404.355
692-27-8933,Cash,365.085
873-95-4984,Cash,565.215
150-89-8043,Cash,140.6475
441-94-7118,Cash,75.5475
725-96-3778,Cash,749.7
531-80-1784,Cash,191.247
834-61-8124,Cash,379.9215
565-67-6697,Cash,255.15
320-49-6392,Cash,31.752
554-42-2417,Cash,1002.12
578-80-7669,Cash,78.7185
605-72-4132,Cash,793.548
462-67-9126,Cash,461.286
272-27-9238,Cash,173.208
834-25-9262,Cash,343.056
122-61-9553,Cash,484.974
468-88-0009,Cash,276.948
613-59-9758,Cash,150.78
201-86-2184,Cash,193.011
382-25-8917,Cash,265.104
462-78-5240,Cash,55.881
868-52-7573,Cash,523.3725
525-88-7307,Cash,79.611
689-16-9784,Cash,294.651
541-89-9860,Cash,253.512
173-82-9529,Cash,398.475
760-54-1821,Cash,128.4255
346-12-3257,Cash,181.818
725-32-9708,Cash,288.582
244-08-0162,Cash,359.205
132-23-6451,Cash,110.0925
745-71-3520,Cash,185.367
740-22-2500,Cash,264.7575
489-64-4354,Cash,17.094
198-84-7132,Cash,383.7645
269-10-8440,Cash,390.7995
741-73-3559,Cash,353.1675
450-28-2866,Cash,91.56
301-11-9629,Cash,140.385
891-01-7034,Cash,470.673
744-09-5786,Cash,138.663
187-83-5490,Cash,87.234
767-54-1907,Cash,155.19
533-33-5337,Cash,833.595
325-90-8763,Cash,488.985
639-76-1242,Cash,212.73
326-71-2155,Cash,310.59
320-32-8842,Cash,23.751
554-53-3790,Cash,233.226
233-34-0817,Cash,103.782
340-21-9136,Cash,168.21
731-59-7531,Cash,609.588
676-39-6028,Cash,338.31
541-08-3113,Cash,554.148
246-11-3901,Cash,344.4
305-18-3552,Cash,633.99
709-58-4068,Cash,431.445
556-72-8512,Cash,24.108
632-32-4574,Cash,637.728
556-97-7101,Cash,132.762
862-59-8517,Cash,568.512
401-18-8016,Cash,103.0365
420-18-8989,Cash,432.768
282-35-2475,Cash,195.951
387-49-4215,Cash,152.775
291-21-5991,Cash,321.7725
189-52-0236,Cash,731.6925
451-28-5717,Cash,523.971
133-14-7229,Cash,132.027
827-77-7633,Cash,926.9505
539-21-7227,Cash,270.585
213-32-1216,Cash,416.178
582-52-8065,Cash,513.2295
210-57-1719,Cash,550.368
134-75-2619,Cash,142.002
198-66-9832,Cash,151.284
174-75-0888,Cash,203.931
514-37-2845,Cash,208.425
651-88-7328,Cash,621.243
343-61-3544,Cash,280.035
458-61-0011,Cash,253.26
797-88-0493,Cash,269.934
390-31-6381,Cash,85.743
443-82-0585,Cash,326.256
278-86-2735,Cash,164.871
379-17-6588,Cash,625.905
227-50-3718,Cash,76.755
560-49-6611,Cash,47.859
585-11-6748,Cash,304.92
258-69-7810,Cash,193.4625
484-22-8230,Cash,381.3915
830-58-2383,Cash,133.35
277-35-5865,Cash,935.2665
789-23-8625,Cash,293.643
327-40-9673,Cash,457.38
436-54-4512,Cash,96.1905
598-06-7312,Cash,95.9175
135-13-8269,Cash,165.648
628-90-8624,Cash,867.09
318-81-2368,Cash,48.51
364-33-8584,Cash,92.5575
778-89-7974,Cash,442.323
574-31-8277,Cash,35.3115
859-71-0933,Cash,32.529
740-11-5257,Cash,259.77
563-47-4072,Cash,351.603
742-04-5161,Cash,764.19
816-72-8853,Cash,146.6325
322-02-2271,Cash,135.3555
714-02-3114,Cash,207.48
642-61-4706,Cash,196.14
242-11-3142,Cash,175.917
274-05-5470,Cash,308.574
528-87-5606,Cash,41.454
648-83-1321,Cash,667.38
173-57-2300,Cash,153.048
305-03-2383,Cash,211.365
394-55-6384,Cash,663.2955
689-05-1884,Cash,510.615
196-01-2849,Cash,539.343
372-62-5264,Cash,497.07
800-09-8606,Cash,458.6925
729-06-2010,Cash,760.4415
640-48-5028,Cash,835.2855
186-79-9562,Cash,527.5095
162-65-8559,Cash,72.429
786-94-2700,Cash,507.906
418-05-0656,Cash,187.866
678-79-0726,Cash,856.4535
592-46-1692,Cash,270.2595
149-14-0304,Cash,239.4
299-29-0180,Cash,383.523
805-86-0265,Cash,887.922
733-29-1227,Cash,408.7335
390-17-5806,Cash,40.341
314-23-4520,Cash,597.0405
406-46-7107,Cash,608.076
388-76-2555,Cash,86.247
711-31-1234,Cash,401.688
886-54-6089,Cash,72.009
200-16-5952,Cash,137.865
875-31-8302,Cash,98.049
102-06-2002,Cash,132.5625
629-42-4133,Cash,183.12
468-99-7231,Cash,369.684
443-60-9639,Cash,63.9135
864-24-7918,Cash,257.145
759-29-9521,Cash,462.672
831-81-6575,Cash,714.3255
220-68-6701,Cash,325.374
257-60-7754,Cash,210.966
559-61-5987,Cash,18.6375
674-56-6360,Cash,99.9075
778-34-2523,Cash,408.408
477-59-2456,Cash,333.984
784-21-9238,Cash,10.6785
276-75-6884,Cash,216.4365
538-22-0304,Cash,681.975
237-44-6163,Cash,88.704
636-17-0325,Cash,262.794
343-75-9322,Cash,99.54
807-34-3742,Cash,54.999
660-29-7083,Cash,586.635
497-36-0989,Cash,163.611
291-59-1384,Cash,63.315
896-34-0956,Cash,22.386
845-94-6841,Cash,688.716
125-45-2293,Cash,624.33
843-73-4724,Cash,77.805
895-03-6665,Cash,345.0195
770-42-8960,Cash,177.408
748-45-2862,Cash,118.902
234-36-2483,Cash,362.817
316-66-3011,Cash,450.1035
533-66-5566,Cash,375.3645
124-31-1458,Cash,250.7085
544-55-9589,Cash,225.015
166-19-2553,Cash,561.078
885-56-0389,Cash,54.9675
608-05-3804,Cash,41.7375
548-48-3156,Cash,175.014
460-93-5834,Cash,335.013
389-70-2397,Cash,439.215
114-35-5271,Cash,486.444
715-20-1673,Cash,148.995
409-49-6995,Cash,297.801
725-54-0677,Cash,629.16
865-41-9075,Cash,84.7455
118-62-1812,Cash,329.196
453-33-6436,Cash,782.208
459-45-2396,Cash,313.74
717-96-4189,Cash,223.587
749-81-8133,Cash,397.614
181-82-6255,Cash,103.131
361-85-2571,Cash,469.77
131-70-8179,Cash,290.0835
702-83-5291,Cash,943.299
333-23-2632,Cash,74.088
784-08-0310,Cash,88.368
200-40-6154,Cash,415.233
846-10-0341,Cash,312.8895
577-34-7579,Cash,477.1305
430-02-3888,Cash,289.926
867-47-1948,Cash,165.9
384-59-6655,Cash,932.337
256-58-3609,Cash,96.579
324-92-3863,Cash,43.869
364-34-2972,Cash,304.983
605-03-2706,Cash,49.77
452-04-8808,Cash,640.038
531-56-4728,Cash,252.252
744-82-9138,Cash,180.873
221-25-5073,Cash,313.572
728-47-9078,Cash,250.278
809-46-1866,Cash,244.23
148-41-7930,Cash,734.706
189-40-5216,Cash,708.3195
727-02-1313,Cash,33.432
347-56-2442,Cash,69.111
849-09-3807,Cash,649.299
