Invoice ID,gross income,Total
430-60-3493,33.208,697.368
411-77-0180,25.27,530.67
803-17-8013,35.516,745.836
227-07-4446,39.065,820.365
898-04-2717,34.38,721.98
873-95-4984,26.915,565.215
135-84-8019,35.0685,736.4385
725-96-3778,35.7,749.7
860-79-0874,49.65,1042.65
554-42-2417,47.72,1002.12
612-36-5536,32.384,680.064
605-72-4132,37.788,793.548
743-88-1662,33.4215,701.8515
308-47-4913,26.13,548.73
587-03-7455,34.2265,718.7565
271-88-8734,48.605,1020.705
325-77-6186,45.325,951.825
616-87-0016,33.439,702.219
751-69-0068,44.658,937.818
394-30-3170,35.372,742.812
138-17-5109,40.1445,843.0345
710-46-4433,34.83,731.43
533-33-5337,39.695,833.595
234-03-4040,36.525,767.025
878-30-2331,27.275,572.775
767-05-1286,25.131,527.751
731-59-7531,29.028,609.588
541-08-3113,26.388,554.148
305-18-3552,30.19,633.99
627-95-3243,34.956,734.076
632-32-4574,30.368,637.728
862-59-8517,27.072,568.512
862-17-9201,25.215,529.515
347-72-6115,31.759,666.939
189-52-0236,34.8425,731.6925
827-44-5872,27.18,570.78
827-77-7633,44.1405,926.9505
435-13-4908,34.672,728.112
358-88-9262,26.244,551.124
541-48-8554,27.4275,575.9775
210-57-1719,26.208,550.368
283-26-5248,49.26,1034.46
866-99-7614,44.6,936.6
698-98-5964,40.605,852.705
651-88-7328,29.583,621.243
241-11-2261,27.951,586.971
408-26-9866,25.893,543.753
339-96-8318,28.4585,597.6285
379-17-6588,29.805,625.905
373-09-4567,38.78,814.38
277-35-5865,44.5365,935.2665
443-59-0061,33.725,708.225
828-46-6863,29.559,620.739
670-79-6321,33.1065,695.2365
852-62-7105,41.625,874.125
628-90-8624,41.29,867.09
149-61-1929,32.095,673.995
188-55-0967,33.235,697.935
155-45-3814,35.42,743.82
131-15-8856,29.008,609.168
742-04-5161,36.39,764.19
641-51-2661,43.55,914.55
588-47-8641,28.02,588.42
648-94-3045,29.475,618.975
648-83-1321,31.78,667.38
394-55-6384,31.5855,663.2955
196-01-2849,25.683,539.343
868-06-0466,31.311,657.531
751-41-9720,48.75,1023.75
729-06-2010,36.2115,760.4415
640-48-5028,39.7755,835.2855
186-79-9562,25.1195,527.5095
183-21-3799,34.9335,733.6035
735-32-9839,39.48,829.08
857-16-3520,25.011,525.231
678-79-0726,40.7835,856.4535
174-64-0215,34.87,732.27
438-23-1242,26.558,557.718
607-65-2441,40.975,860.475
386-27-7606,28.42,596.82
137-63-5492,29.38,616.98
197-77-7132,36.624,769.104
805-86-0265,42.282,887.922
457-13-1708,32.615,684.915
314-23-4520,28.4305,597.0405
652-43-6591,38.916,817.236
406-46-7107,28.956,608.076
842-40-8179,38.6,810.6
525-09-8450,36.065,757.365
410-67-1709,25.552,536.592
593-14-4239,38.184,801.864
759-98-4285,30.0545,631.1445
457-94-0464,39.5415,830.3715
404-91-5964,26.103,548.163
886-77-9084,28.756,603.876
744-16-7898,48.685,1022.385
263-12-5321,32.41,680.61
831-81-6575,34.0155,714.3255
189-55-2313,31.09,652.89
222-42-0244,32.4495,681.4395
538-22-0304,32.475,681.975
416-17-9926,37.11,779.31
660-29-7083,27.935,586.635
845-94-6841,32.796,688.716
125-45-2293,29.73,624.33
866-70-2814,26.395,554.295
361-59-0574,36.212,760.452
166-19-2553,26.718,561.078
154-87-7367,26.104,548.184
448-61-3783,36.008,756.168
884-80-6021,36.735,771.435
880-46-5796,38.46,807.66
699-88-1972,39.664,832.944
725-54-0677,29.96,629.16
450-42-3339,42.305,888.405
453-33-6436,37.248,782.208
887-42-0517,29.099,611.079
431-66-2305,39.7125,833.9625
641-62-7288,29.976,629.496
243-55-8457,37.22,781.62
433-08-7822,27.6115,579.8415
702-83-5291,44.919,943.299
489-82-1237,32.858,690.018
384-59-6655,44.397,932.337
746-04-1077,42.315,888.615
452-04-8808,30.478,640.038
139-32-4183,43.866,921.186
148-41-7930,34.986,734.706
189-40-5216,33.7295,708.3195
267-62-7380,41.17,864.57
430-53-4718,30.148,633.108
602-16-6955,38.3,804.3
303-96-2227,48.69,1022.49
849-09-3807,30.919,649.299
