Invoice ID,Quantity,Total
891-01-7034,6,470.673
744-09-5786,6,138.663
710-46-4433,9,731.43
533-33-5337,10,833.595
325-90-8763,10,488.985
234-03-4040,10,767.025
878-30-2331,10,572.775
440-59-5691,7,273.0525
554-53-3790,6,233.226
767-05-1286,6,527.751
405-31-3305,10,452.865
731-59-7531,8,609.588
701-69-8742,10,360.885
541-08-3113,8,554.148
246-11-3901,10,344.4
305-18-3552,10,633.99
493-65-6248,10,388.29
709-58-4068,10,431.445
627-95-3243,9,734.076
510-09-5628,10,206.43
608-04-3797,8,212.688
148-82-2527,10,127.26
632-32-4574,8,637.728
862-59-8517,6,568.512
420-18-8989,8,432.768
726-29-6793,8,203.112
862-17-9201,6,529.515
602-80-9671,6,100.485
347-72-6115,7,666.939
595-27-4851,7,398.958
189-52-0236,7,731.6925
503-07-0930,7,429.1665
451-28-5717,6,523.971
609-81-8548,6,235.872
534-01-4457,6,514.773
827-44-5872,10,570.78
827-77-7633,9,926.9505
287-83-1405,6,160.209
435-13-4908,8,728.112
857-67-9057,10,240.975
236-27-1144,9,154.1295
583-41-4548,7,122.5245
358-88-9262,6,551.124
243-47-2663,6,118.251
647-50-1224,10,308.91
541-48-8554,9,575.9775
213-32-1216,6,416.178
582-52-8065,9,513.2295
210-57-1719,9,550.368
399-69-4630,6,139.923
134-75-2619,7,142.002
283-26-5248,10,1034.46
712-39-0363,6,262.458
174-75-0888,9,203.931
866-99-7614,10,936.6
134-54-4720,8,356.328
760-90-2357,6,469.413
698-98-5964,10,852.705
718-57-9773,10,517.965
651-88-7328,9,621.243
241-11-2261,7,586.971
408-26-9866,7,543.753
343-61-3544,10,280.035
239-48-4278,7,74.4555
339-96-8318,7,597.6285
379-17-6588,10,625.905
302-15-2162,6,293.139
788-07-8452,7,178.164
123-35-4896,9,440.937
373-09-4567,10,814.38
642-30-6693,6,343.413
484-22-8230,7,381.3915
559-98-9873,7,394.3275
277-35-5865,9,935.2665
443-59-0061,10,708.225
509-29-3912,9,365.904
327-40-9673,6,457.38
828-46-6863,6,620.739
641-96-3695,6,273.798
670-79-6321,7,695.2365
852-62-7105,10,874.125
628-90-8624,10,867.09
149-61-1929,10,673.995
188-55-0967,10,697.935
610-46-4100,7,212.7825
155-45-3814,8,743.82
131-15-8856,8,609.168
706-36-6154,9,182.952
778-89-7974,6,442.323
740-11-5257,10,259.77
563-47-4072,6,351.603
742-04-5161,10,764.19
149-15-7606,9,352.674
842-29-4695,7,125.979
725-67-2480,6,370.125
641-51-2661,10,914.55
408-66-6712,6,300.573
588-47-8641,10,588.42
556-41-6224,8,282.576
811-03-8790,10,477.54
752-23-3760,7,470.988
648-94-3045,10,618.975
130-67-4723,6,305.55
370-96-0655,6,310.716
510-79-0415,6,145.404
648-83-1321,10,667.38
394-55-6384,9,663.2955
266-20-6657,7,404.544
689-05-1884,10,510.615
196-01-2849,7,539.343
372-62-5264,9,497.07
868-06-0466,9,657.531
751-41-9720,10,1023.75
626-43-7888,8,507.444
191-29-0321,10,207.585
729-06-2010,9,760.4415
640-48-5028,9,835.2855
186-79-9562,7,527.5095
760-27-5490,8,131.208
786-94-2700,6,507.906
183-21-3799,9,733.6035
268-20-3585,9,130.8825
735-32-9839,8,829.08
857-16-3520,7,525.231
821-14-9046,6,110.124
418-05-0656,7,187.866
678-79-0726,9,856.4535
592-46-1692,7,270.2595
149-14-0304,8,239.4
174-64-0215,10,732.27
299-29-0180,7,383.523
438-23-1242,7,557.718
607-65-2441,10,860.475
386-27-7606,7,596.82
137-63-5492,10,616.98
197-77-7132,8,769.104
805-86-0265,9,887.922
733-29-1227,7,408.7335
345-68-9016,8,266.028
457-13-1708,10,684.915
487-79-6868,9,116.1405
314-23-4520,7,597.0405
807-14-7833,10,182.91
652-43-6591,8,817.236
785-96-0615,8,300.216
406-46-7107,6,608.076
250-17-5703,10,197.925
842-40-8179,10,810.6
525-09-8450,10,757.365
410-67-1709,8,536.592
593-14-4239,8,801.864
388-76-2555,6,86.247
886-54-6089,6,72.009
759-98-4285,7,631.1445
201-63-8275,7,499.7265
102-77-2261,7,480.0285
457-94-0464,9,830.3715
629-42-4133,8,183.12
468-99-7231,8,369.684
404-91-5964,7,548.163
886-77-9084,8,603.876
497-37-6538,7,432.9885
744-16-7898,10,1022.385
263-12-5321,7,680.61
864-24-7918,10,257.145
751-15-6198,6,144.963
324-41-6833,8,253.68
474-33-8305,7,495.3165
759-29-9521,9,462.672
831-81-6575,9,714.3255
189-55-2313,10,652.89
565-91-4567,8,90.3
380-60-5336,10,422.73
778-34-2523,8,408.408
499-27-7781,8,446.964
477-59-2456,7,333.984
832-51-6761,8,284.592
109-86-4363,7,441.588
222-42-0244,9,681.4395
538-22-0304,10,681.975
416-17-9926,10,779.31
237-44-6163,8,88.704
343-75-9322,8,99.54
427-45-9297,7,299.3655
670-71-7306,6,281.169
660-29-7083,10,586.635
271-77-8740,6,184.086
845-94-6841,9,688.716
125-45-2293,6,624.33
658-66-3967,7,390.9465
866-70-2814,10,554.295
895-03-6665,9,345.0195
770-42-8960,8,177.408
234-36-2483,6,362.817
316-66-3011,9,450.1035
152-03-4217,9,106.596
533-66-5566,7,375.3645
361-59-0574,8,760.452
873-14-6353,7,182.427
544-55-9589,10,225.015
166-19-2553,6,561.078
154-87-7367,8,548.184
448-61-3783,8,756.168
761-49-0439,8,101.64
490-95-0021,10,348.705
115-38-7388,8,85.512
311-13-6971,10,335.895
291-55-6563,6,216.846
460-93-5834,7,335.013
884-80-6021,10,771.435
137-74-8729,8,102.396
880-46-5796,10,807.66
114-35-5271,8,486.444
811-35-1094,6,317.835
699-88-1972,8,832.944
781-84-8059,7,446.439
409-49-6995,6,297.801
725-54-0677,7,629.16
146-09-5432,9,331.128
377-79-7592,9,423.738
865-41-9075,7,84.7455
450-42-3339,10,888.405
624-01-8356,10,514.605
453-33-6436,8,782.208
522-57-8364,8,431.256
717-96-4189,6,223.587
246-55-6923,9,338.2155
181-82-6255,6,103.131
887-42-0517,7,611.079
457-12-0244,6,221.886
397-25-8725,9,374.409
431-66-2305,9,833.9625
641-62-7288,6,629.496
243-55-8457,10,781.62
458-10-8612,7,470.988
501-61-1753,6,397.845
433-08-7822,7,579.8415
500-02-2261,6,360.927
702-83-5291,9,943.299
809-69-9497,10,479.64
333-23-2632,7,74.088
489-82-1237,7,690.018
365-16-4334,8,222.012
200-40-6154,6,415.233
846-10-0341,7,312.8895
577-34-7579,9,477.1305
430-02-3888,6,289.926
867-47-1948,10,165.9
384-59-6655,9,932.337
558-60-5016,9,314.685
746-04-1077,10,888.615
448-34-8700,7,271.2885
452-04-8808,7,640.038
518-71-6847,6,167.58
139-32-4183,9,921.186
148-41-7930,7,734.706
189-40-5216,7,708.3195
552-44-5977,8,520.8
267-62-7380,10,864.57
430-53-4718,8,633.108
602-16-6955,10,804.3
690-01-6631,10,183.645
303-96-2227,10,1022.49
849-09-3807,7,649.299
